ID_da_disciplina	Nome_da_disciplina_Ingles	Nome_da_disciplina
1	Biology	Biologia
2	Biotechnology	Biotecnologia
3	Medical Specialties	Especialidades Médicas
4	Chemical, Mechanical, & Civil Engineering	Engenharias Civil, Mecânica e Química
5	Chemistry	Quimica
6	Earth Sciences	Ciências da Natureza
7	Electrical Engineering & Computer Science	Engenharia Elétrica e Ciências da Computação
8	Brain Research	Pesquisas Neurologicas
9	Humanities	Humanas
10	Infectious Diseases	Doenças Infecciosas
11	Math & Physics	Matemática e Física
12	Health Professionals	Profissionais da Saúde
13	Social Sciences	Ciências Sociais