ID_da_instituicao	Ano	Publicacoes
100000002	2010	292
100000002	2013	366
100000002	2014	416
100000002	2015	377
100000002	2011	327
100000002	2012	321
200000004	2010	309
200000004	2011	284
200000004	2012	378
200000004	2013	334
200000004	2014	273
200000004	2015	225
200000993	2010	723
200000993	2011	939
200000993	2012	1087
200000993	2013	856
200000993	2014	888
200000993	2015	591
300000006	2012	1158
300000006	2013	1131
300000006	2014	1370
300000006	2015	1192
300000006	2011	1109
300000006	2010	866
300000995	2010	436
300000995	2011	475
300000995	2012	420
300000995	2013	464
300000995	2014	381
300000995	2015	358
400000008	2011	61
400000008	2012	54
400000008	2013	64
400000008	2014	51
400000008	2015	52
400000008	2010	44
400000997	2010	401
400000997	2011	439
400000997	2012	443
400000997	2013	390
400000997	2014	518
400000997	2015	453
500000000	2010	1078
500000000	2011	1209
500000000	2012	1405
500000000	2013	1485
500000000	2014	1460
500000000	2015	1253
500000999	2010	265
500000999	2011	278
500000999	2012	352
500000999	2015	209
500000999	2013	263
500000999	2014	215
600000001	2010	905
600000001	2011	873
600000001	2012	1036
600000001	2013	786
600000001	2014	803
600000001	2015	1034
600000990	2011	233
600000990	2013	249
600000990	2014	193
600000990	2015	173
600000990	2010	283
600000990	2012	218
700000003	2014	49
700000003	2010	22
700000003	2011	26
700000003	2012	35
700000003	2015	26
700000003	2013	24
700000992	2010	220
700000992	2011	248
700000992	2012	263
700000992	2013	315
700000992	2014	194
700000992	2015	205
800000994	2010	215
800000994	2011	170
800000994	2012	199
800000994	2013	208
800000994	2014	171
800000994	2015	154
900000007	2012	184
900000007	2010	141
900000007	2013	154
900000007	2014	195
900000007	2015	166
900000007	2011	126
900000996	2010	130
900000996	2012	158
900000996	2014	108
900000996	2015	111
900000996	2011	135
900000996	2013	131
1000000998	2012	128
1000000998	2013	160
1000000998	2015	86
1000000998	2010	127
1000000998	2014	105
1000000998	2011	132
1100000990	2011	125
1100000990	2012	98
1100000990	2014	101
1100000990	2015	79
1100000990	2010	132
1100000990	2013	111
1200000002	2014	152
1200000002	2011	88
1200000002	2010	61
1200000002	2013	95
1200000002	2015	86
1200000002	2012	58
1200000991	2010	94
1200000991	2011	96
1200000991	2012	98
1200000991	2013	93
1200000991	2014	75
1200000991	2015	133
1300000993	2010	94
1300000993	2011	76
1300000993	2012	79
1300000993	2015	90
1300000993	2013	77
1300000993	2014	74
1400000006	2013	49
1400000006	2010	33
1400000006	2014	44
1400000006	2015	41
1400000006	2011	51
1400000006	2012	44
1400000995	2010	92
1400000995	2011	168
1400000995	2012	96
1400000995	2013	184
1400000995	2014	87
1400000995	2015	82
1500000008	2010	995
1500000008	2011	963
1500000008	2012	1154
1500000008	2013	1171
1500000008	2014	1086
1500000008	2015	992
1500000997	2010	65
1500000997	2014	135
1500000997	2015	44
1500000997	2012	72
1500000997	2013	53
1500000997	2011	66
1600000999	2015	42
1600000999	2010	87
1600000999	2011	83
1600000999	2012	75
1600000999	2013	53
1600000999	2014	69
1700000001	2013	233
1700000001	2015	127
1700000001	2011	127
1700000001	2012	150
1700000001	2010	92
1700000001	2014	173
1700000990	2014	63
1700000990	2010	64
1700000990	2011	48
1700000990	2013	60
1700000990	2015	35
1700000990	2012	76
1800000992	2010	71
1800000992	2011	87
1800000992	2012	66
1800000992	2013	58
1800000992	2014	55
1800000992	2015	45
1900000005	2010	125
1900000005	2012	89
1900000005	2015	94
1900000005	2013	77
1900000005	2014	101
1900000005	2011	71
1900000994	2010	55
1900000994	2011	39
1900000994	2012	32
1900000994	2013	51
1900000994	2014	30
1900000994	2015	25
2000000996	2011	117
2000000996	2013	110
2000000996	2014	106
2000000996	2010	37
2000000996	2012	46
2000000996	2015	31
2100000009	2010	2113
2100000009	2011	1837
2100000009	2012	1819
2100000009	2013	1791
2100000009	2014	1935
2100000009	2015	1768
2100000998	2012	59
2100000998	2011	58
2100000998	2010	39
2100000998	2013	51
2100000998	2014	36
2100000998	2015	36
2200000990	2013	18
2200000990	2014	37
2200000990	2010	15
2200000990	2011	20
2200000990	2015	18
2200000990	2012	13
2500000006	2012	752
2500000006	2014	499
2500000006	2010	334
2500000006	2011	432
2500000006	2013	454
2500000006	2015	409
2500000995	2011	18
2500000995	2015	35
2500000995	2012	18
2500000995	2013	17
2500000995	2014	44
2500000995	2010	10
2700000000	2010	24
2700000000	2014	37
2700000000	2012	32
2700000000	2013	48
2700000000	2011	25
2700000000	2015	32
2800000001	2010	232
2800000001	2013	299
2800000001	2012	272
2800000001	2014	276
2800000001	2011	242
2800000001	2015	240
2800000990	2011	18
2800000990	2010	18
2800000990	2012	22
2800000990	2014	15
2800000990	2015	10
2800000990	2013	19
2900000003	2010	151
2900000003	2013	255
2900000003	2014	168
2900000003	2015	232
2900000003	2011	77
2900000003	2012	96
3200000009	2013	26
3200000009	2010	36
3200000009	2012	28
3200000009	2014	22
3200000009	2015	12
3200000009	2011	20
3900000001	2010	2785
3900000001	2011	4437
3900000001	2012	2730
3900000001	2013	3491
3900000001	2014	3423
3900000001	2015	2373
4000000003	2011	347
4000000003	2014	281
4000000003	2013	281
4000000003	2012	328
4000000003	2010	272
4000000003	2015	244
4100000005	2010	404
4100000005	2011	697
4100000005	2012	644
4100000005	2013	689
4100000005	2014	465
4100000005	2015	323
4300000009	2010	2342
4300000009	2011	2608
4300000009	2012	2534
4300000009	2013	2643
4300000009	2014	2911
4300000009	2015	2743
4400000000	2010	712
4400000000	2011	980
4400000000	2012	797
4400000000	2013	1139
4400000000	2014	1009
4400000000	2015	883
4500000002	2010	1300
4500000002	2011	1567
4500000002	2012	2505
4500000002	2013	2384
4500000002	2014	2240
4500000002	2015	1683
4700000006	2010	33
4700000006	2011	28
4700000006	2012	34
4700000006	2013	15
4700000006	2014	30
4700000006	2015	19
5800000006	2012	82
5800000006	2013	79
5800000006	2015	84
5800000006	2010	88
5800000006	2011	98
5800000006	2014	73
5900000008	2015	438
5900000008	2010	271
5900000008	2012	341
5900000008	2011	359
5900000008	2013	388
5900000008	2014	428
6100000001	2010	31
6100000001	2011	43
6100000001	2015	42
6100000001	2013	43
6100000001	2012	50
6100000001	2014	50
6200000003	2010	3569
6200000003	2011	3749
6200000003	2012	3590
6200000003	2013	3419
6200000003	2014	3250
6200000003	2015	2904
6700000002	2010	14928
6700000002	2011	14564
6700000002	2012	13426
6700000002	2013	14983
6700000002	2014	15481
6700000002	2015	14448
6900000006	2010	45
6900000006	2011	53
6900000006	2013	34
6900000006	2015	26
6900000006	2014	53
6900000006	2012	46
7000000008	2010	523
7000000008	2012	654
7000000008	2014	717
7000000008	2015	664
7000000008	2011	602
7000000008	2013	652
7100000000	2011	123
7100000000	2010	77
7100000000	2012	48
7100000000	2015	54
7100000000	2013	49
7100000000	2014	61
7200000001	2011	160
7200000001	2013	103
7200000001	2014	139
7200000001	2010	139
7200000001	2015	84
7200000001	2012	157
7700000000	2010	261
7700000000	2011	244
7700000000	2012	287
7700000000	2013	247
7700000000	2014	293
7700000000	2015	593
7900000004	2010	4799
7900000004	2011	4550
7900000004	2012	5044
7900000004	2013	4945
7900000004	2014	4767
7900000004	2015	4459
8000000006	2010	799
8000000006	2011	859
8000000006	2012	944
8000000006	2013	999
8000000006	2014	954
8000000006	2015	890
8200000000	2011	339
8200000000	2012	338
8200000000	2010	392
8200000000	2014	311
8200000000	2013	309
8200000000	2015	306
8300000001	2010	870
8300000001	2011	1013
8300000001	2012	1054
8300000001	2013	1219
8300000001	2014	984
8300000001	2015	963
8400000003	2010	380
8400000003	2011	445
8400000003	2013	944
8400000003	2014	534
8400000003	2015	653
8400000003	2012	341
8700000009	2010	811
8700000009	2012	515
8700000009	2013	508
8700000009	2014	667
8700000009	2015	495
8700000009	2011	487
8900000002	2010	1642
8900000002	2011	1853
8900000002	2012	1821
8900000002	2014	1950
8900000002	2015	1562
8900000002	2013	1779
9200000008	2011	2051
9200000008	2012	1970
9200000008	2013	1976
9200000008	2014	2043
9200000008	2010	1954
9200000008	2015	1425
9800000009	2012	91
9800000009	2015	75
9800000009	2010	85
9800000009	2011	82
9800000009	2013	80
9800000009	2014	79
10200000001	2011	224
10200000001	2013	222
10200000001	2014	240
10200000001	2012	87
10200000001	2015	115
10200000001	2010	58
10300000003	2010	1896
10300000003	2011	2195
10300000003	2012	2033
10300000003	2013	2591
10300000003	2014	2222
10300000003	2015	2250
10400000005	2015	114
10400000005	2010	102
10400000005	2011	110
10400000005	2012	95
10400000005	2013	89
10400000005	2014	104
10600000009	2010	1193
10600000009	2011	1034
10600000009	2012	1259
10600000009	2013	1711
10600000009	2014	1418
10600000009	2015	1240
11000000006	2012	19
11000000006	2013	32
11000000006	2015	20
11000000006	2010	37
11000000006	2011	31
11000000006	2014	12
11100000008	2010	371
11100000008	2011	432
11100000008	2012	394
11100000008	2013	511
11100000008	2014	520
11100000008	2015	490
12800000009	2014	32
12800000009	2010	41
12800000009	2012	34
12800000009	2011	33
12800000009	2013	30
12800000009	2015	27
13800000007	2012	33
13800000007	2014	22
13800000007	2010	29
13800000007	2015	25
13800000007	2013	30
13800000007	2011	31
14000000000	2011	465
14000000000	2013	243
14000000000	2014	268
14000000000	2010	434
14000000000	2015	203
14000000000	2012	331
16300000002	2010	44
16300000002	2014	56
16300000002	2011	47
16300000002	2015	53
16300000002	2012	26
16300000002	2013	51
16700000000	2010	486
16700000000	2011	611
16700000000	2012	521
16700000000	2013	586
16700000000	2015	594
16700000000	2014	599
19200000005	2010	3400
19200000005	2011	4307
19200000005	2012	3990
19200000005	2013	3996
19200000005	2014	4638
19200000005	2015	4464
20100000007	2012	109
20100000007	2015	97
20100000007	2010	47
20100000007	2013	70
20100000007	2011	47
20100000007	2014	79
20200000009	2010	5144
20200000009	2011	5449
20200000009	2012	5479
20200000009	2013	5506
20200000009	2014	5608
20200000009	2015	6398
20700000008	2010	299
20700000008	2011	330
20700000008	2012	843
20700000008	2013	335
20700000008	2014	359
20700000008	2015	295
21100000005	2010	514
21100000005	2014	512
21100000005	2015	431
21100000005	2011	552
21100000005	2013	592
21100000005	2012	539
21200000007	2012	21
21200000007	2015	19
21200000007	2013	18
21200000007	2014	24
21200000007	2010	23
21200000007	2011	23
21700000006	2012	202
21700000006	2013	221
21700000006	2014	188
21700000006	2010	216
21700000006	2015	214
21700000006	2011	211
22900000008	2012	80
22900000008	2010	55
22900000008	2014	74
22900000008	2015	71
22900000008	2011	62
22900000008	2013	67
23100000001	2011	64
23100000001	2013	70
23100000001	2014	78
23100000001	2010	86
23100000001	2012	60
23100000001	2015	42
24000000008	2010	1585
24000000008	2011	1548
24000000008	2012	1471
24000000008	2013	2036
24000000008	2014	1844
24000000008	2015	1473
24500000007	2010	27
24500000007	2015	105
24500000007	2011	25
24500000007	2012	25
24500000007	2013	16
24500000007	2014	31
24700000000	2010	165
24700000000	2011	240
24700000000	2012	189
24700000000	2013	185
24700000000	2014	152
24700000000	2015	101
24800000002	2015	213
24800000002	2013	189
24800000002	2014	181
24800000002	2011	214
24800000002	2012	158
24800000002	2010	202
25500000005	2013	36
25500000005	2011	17
25500000005	2014	49
25500000005	2010	21
25500000005	2012	30
25500000005	2015	45
25900000002	2015	46
25900000002	2011	39
25900000002	2014	44
25900000002	2012	76
25900000002	2010	47
25900000002	2013	64
27500000001	2011	40
27500000001	2010	46
27500000001	2012	49
27500000001	2013	42
27500000001	2014	49
27500000001	2015	44
28200000004	2011	152
28200000004	2012	158
28200000004	2013	138
28200000004	2014	87
28200000004	2015	60
28200000004	2010	80
28700000003	2012	64
28700000003	2010	50
28700000003	2011	48
28700000003	2013	53
28700000003	2014	36
28700000003	2015	44
29100000000	2010	1098
29100000000	2011	1605
29100000000	2012	1069
29100000000	2013	1362
29100000000	2014	1349
29100000000	2015	995
32100000000	2010	170
32100000000	2012	302
32100000000	2013	270
32100000000	2014	263
32100000000	2015	561
32100000000	2011	161
32300000004	2011	546
32300000004	2012	491
32300000004	2014	549
32300000004	2010	381
32300000004	2013	541
32300000004	2015	528
32600000000	2010	1501
32600000000	2011	2275
32600000000	2012	3165
32600000000	2013	1765
32600000000	2014	1801
32600000000	2015	1802
32700000001	2010	1427
32700000001	2011	1708
32700000001	2012	1829
32700000001	2014	2194
32700000001	2015	2173
32700000001	2013	2174
32900000005	2010	1065
32900000005	2011	1274
32900000005	2012	1131
32900000005	2013	1319
32900000005	2014	1370
32900000005	2015	1432
33000000007	2010	5336
33000000007	2011	5833
33000000007	2012	5936
33000000007	2013	6458
33000000007	2014	5822
33000000007	2015	5952
33100000009	2011	421
33100000009	2014	468
33100000009	2015	432
33100000009	2010	389
33100000009	2012	420
33100000009	2013	394
33200000000	2011	571
33200000000	2012	596
33200000000	2013	681
33200000000	2014	646
33200000000	2015	618
33200000000	2010	511
33300000002	2010	4100
33300000002	2011	4724
33300000002	2012	4896
33300000002	2013	5050
33300000002	2014	5171
33300000002	2015	5048
33400000004	2010	326
33400000004	2012	504
33400000004	2013	490
33400000004	2014	490
33400000004	2011	353
33400000004	2015	438
33500000006	2010	1312
33500000006	2011	1409
33500000006	2012	1705
33500000006	2013	1514
33500000006	2014	1661
33500000006	2015	1491
33600000008	2010	1753
33600000008	2011	1894
33600000008	2012	1838
33600000008	2013	1944
33600000008	2015	1693
33600000008	2014	1885
33700000000	2010	1121
33700000000	2011	1112
33700000000	2012	1063
33700000000	2013	1236
33700000000	2014	1245
33700000000	2015	1206
33800000001	2010	693
33800000001	2011	805
33800000001	2013	700
33800000001	2014	659
33800000001	2015	771
33800000001	2012	745
38400000005	2010	552
38400000005	2011	659
38400000005	2012	522
38400000005	2013	552
38400000005	2014	558
38400000005	2015	591
38800000002	2014	80
38800000002	2010	66
38800000002	2011	77
38800000002	2013	45
38800000002	2015	52
38800000002	2012	82
39000000006	2011	25
39000000006	2010	21
39000000006	2013	12
39000000006	2014	20
39000000006	2015	19
39000000006	2012	23
39200000000	2010	772
39200000000	2011	847
39200000000	2012	854
39200000000	2013	856
39200000000	2014	943
39200000000	2015	994
40000000000	2010	32
40000000000	2013	31
40000000000	2011	18
40000000000	2012	34
40000000000	2014	30
40000000000	2015	18
45000000000	2014	25
45000000000	2010	16
45000000000	2012	17
45000000000	2013	19
45000000000	2015	22
45000000000	2011	20
46100000000	2010	12
46100000000	2013	18
46100000000	2015	14
46100000000	2014	18
46100000000	2011	18
46100000000	2012	29
47000000007	2013	66
47000000007	2014	48
47000000007	2011	43
47000000007	2012	38
47000000007	2015	22
47000000007	2010	33
47500000006	2012	52
47500000006	2014	41
47500000006	2011	36
47500000006	2013	35
47500000006	2015	24
47500000006	2010	55
47700000000	2013	34
47700000000	2011	19
47700000000	2010	19
47700000000	2014	61
47700000000	2015	29
47700000000	2012	37
51400000002	2012	182
51400000002	2015	145
51400000002	2011	103
51400000002	2010	108
51400000002	2014	89
51400000002	2013	103
51600000006	2010	52
51600000006	2013	20
51600000006	2015	13
51600000006	2014	10
51600000006	2011	27
51600000006	2012	22
57200000008	2010	20
57200000008	2011	31
57200000008	2014	32
57200000008	2015	32
57200000008	2013	19
57200000008	2012	27
59100000002	2010	217
59100000002	2012	175
59100000002	2013	206
59100000002	2015	174
59100000002	2011	201
59100000002	2014	181
61400000000	2010	243
61400000000	2014	182
61400000000	2015	132
61400000000	2011	215
61400000000	2012	281
61400000000	2013	188
61500000001	2010	40
61500000001	2011	55
61500000001	2013	47
61500000001	2014	37
61500000001	2015	44
61500000001	2012	29
62200000004	2010	148
62200000004	2011	185
62200000004	2013	161
62200000004	2012	82
62200000004	2014	85
62200000004	2015	69
65800000000	2010	381
65800000000	2011	505
65800000000	2012	430
65800000000	2013	372
65800000000	2014	388
65800000000	2015	309
66300000009	2014	15
66300000009	2011	16
66300000009	2010	22
66300000009	2012	25
66300000009	2013	22
66300000009	2015	16
66900000000	2012	104
66900000000	2013	137
66900000000	2010	77
66900000000	2011	78
66900000000	2014	54
66900000000	2015	34
67900000008	2013	146
67900000008	2011	68
67900000008	2014	83
67900000008	2010	57
67900000008	2012	83
67900000008	2015	64
71500000009	2011	77
71500000009	2013	70
71500000009	2014	63
71500000009	2012	68
71500000009	2015	48
71500000009	2010	73
80300000004	2013	250
80300000004	2011	134
80300000004	2010	101
80300000004	2015	155
80300000004	2012	142
80300000004	2014	128
80400000006	2010	571
80400000006	2012	826
80400000006	2013	788
80400000006	2015	709
80400000006	2011	576
80400000006	2014	730
81100000009	2010	188
81100000009	2011	270
81100000009	2015	174
81100000009	2014	209
81100000009	2012	225
81100000009	2013	196
81500000006	2010	68
81500000006	2011	73
81500000006	2014	75
81500000006	2015	71
81500000006	2012	69
81500000006	2013	65
87000000006	2011	463
87000000006	2012	413
87000000006	2014	559
87000000006	2015	431
87000000006	2013	415
87000000006	2010	367
87900000002	2011	161
87900000002	2014	190
87900000002	2010	143
87900000002	2012	161
87900000002	2015	126
87900000002	2013	121
89100000004	2011	51
89100000004	2013	54
89100000004	2015	69
89100000004	2010	57
89100000004	2012	38
89100000004	2014	60
104100000001	2010	39
104100000001	2012	32
104100000001	2011	37
104100000001	2013	34
104100000001	2014	34
104100000001	2015	14
107000000004	2014	43
107000000004	2010	55
107000000004	2011	37
107000000004	2013	41
107000000004	2015	54
107000000004	2012	40
107400000001	2010	157
107400000001	2012	247
107400000001	2013	127
107400000001	2014	140
107400000001	2015	128
107400000001	2011	176
117700000004	2010	61
117700000004	2011	46
117700000004	2012	76
117700000004	2013	56
117700000004	2015	44
117700000004	2014	47
117800000006	2014	138
117800000006	2010	112
117800000006	2011	144
117800000006	2012	158
117800000006	2013	140
117800000006	2015	112
118000000000	2012	24
118000000000	2014	17
118000000000	2015	17
118000000000	2011	24
118000000000	2013	20
118000000000	2010	14
119300000003	2010	383
119300000003	2011	368
119300000003	2012	378
119300000003	2013	393
119300000003	2014	420
119300000003	2015	349
120600000002	2011	44
120600000002	2013	37
120600000002	2015	51
120600000002	2014	67
120600000002	2010	32
120600000002	2012	38
121100000001	2010	60
121100000001	2011	44
121100000001	2012	49
121100000001	2013	36
121100000001	2014	54
121100000001	2015	38
125200000006	2010	238
125200000006	2011	244
125200000006	2012	358
125200000006	2013	286
125200000006	2014	291
125200000006	2015	276
154100000008	2012	60
154100000008	2013	50
154100000008	2014	63
154100000008	2015	54
154100000008	2010	60
154100000008	2011	67
154300000001	2010	38
154300000001	2011	43
154300000001	2012	65
154300000001	2013	66
154300000001	2014	45
154300000001	2015	43
154600000007	2010	60
154600000007	2011	64
154600000007	2014	33
154600000007	2015	72
154600000007	2012	68
154600000007	2013	69
158700000001	2011	83
158700000001	2013	62
158700000001	2014	76
158700000001	2015	115
158700000001	2012	99
158700000001	2010	46
166100000001	2010	25
166100000001	2014	35
166100000001	2013	40
166100000001	2011	27
166100000001	2012	18
166100000001	2015	31
169600000005	2010	31
169600000005	2015	53
169600000005	2013	60
169600000005	2014	61
169600000005	2011	44
169600000005	2012	40
169700000007	2010	174
169700000007	2012	248
169700000007	2014	215
169700000007	2011	192
169700000007	2015	164
169700000007	2013	215
171500000005	2012	58
171500000005	2013	64
171500000005	2015	31
171500000005	2014	45
171500000005	2010	65
171500000005	2011	61
172000000004	2010	99
172000000004	2013	150
172000000004	2015	138
172000000004	2011	131
172000000004	2012	148
172000000004	2014	138
173400000000	2010	11
173400000000	2012	27
173400000000	2015	17
173400000000	2011	20
173400000000	2014	33
173400000000	2013	37
179800000006	2010	27
179800000006	2012	18
179800000006	2014	31
179800000006	2015	39
179800000006	2013	32
179800000006	2011	46
183300000005	2011	172
183300000005	2013	72
183300000005	2015	104
183300000005	2012	87
183300000005	2010	68
183300000005	2014	100
189500000008	2010	49
189500000008	2011	30
189500000008	2012	46
189500000008	2013	53
189500000008	2014	26
189500000008	2015	29
192500000008	2010	34
192500000008	2011	40
192500000008	2012	34
192500000008	2013	26
192500000008	2015	32
192500000008	2014	35
192900000005	2010	42
192900000005	2012	51
192900000005	2014	76
192900000005	2013	57
192900000005	2015	66
192900000005	2011	35
195400000000	2013	124
195400000000	2015	89
195400000000	2010	53
195400000000	2014	76
195400000000	2012	92
195400000000	2011	87
198100000000	2010	488
198100000000	2013	739
198100000000	2015	735
198100000000	2011	554
198100000000	2012	606
198100000000	2014	610
201100000003	2010	231
201100000003	2011	300
201100000003	2012	243
201100000003	2013	258
